Id,Title,Solved?,Author,Difficulty,Liked,Disliked,Like-Dislike
12797,Extreme,,axorion,4.50,2,0,2
12796,XOR Lines,,scorpio,3.00,2,0,2
12795,Bushnell's Law,,axorion,3.80,5,0,5
12794,Test,,MrMartin,1.82,7,-2,5
12793,tbh i dont know???,,LACav,1.88,4,-2,2
12792,Just Halfs,,drmazhar,3.20,5,0,5
12791,Maze,,micheltj212,?,0,0,0
12790,Maze,,micheltj212,?,0,0,0
12789,Nighthawk,,scorpio,3.67,3,0,3
12788,Pop At Green,,drmazhar,3.00,2,0,2
12787,1998,,axorion,3.00,1,0,1
12786,taiwan is not chinese,,jimmyfu,1.27,4,-2,2
12785,Antclockwise spiral,,drmazhar,3.40,3,0,3
12784,Corona Dispersion Algorithm,,drmazhar,2.00,4,0,4
12783,Distance or Direction,,drmazhar,2.80,3,0,3
12782,Heavy Dumbbell III,,drmazhar,2.67,2,0,2
12781,Monochromatic Sandglass,,scorpio,3.50,4,0,4
12780,Sandglass,,scorpio,2.80,5,0,5
12779,Light Dumbbell,,scorpio,3.50,4,0,4
12778,Circular Road includes Many Crosses,,drmazhar,2.60,4,0,4
12777,Coming Up Short,,axorion,3.50,1,0,1
12776,Heavy Dumbbell II,,drmazhar,3.00,2,0,2
12775,Over The Top,,axorion,3.25,4,0,4
12774,Double recursion,,goshal,2.60,5,0,5
12773,Midpoint,,goshal,2.00,4,0,4
12772,level 1,,Casualuser,1.21,60,-3,57
12771,Arrowhead,,scorpio,3.00,3,0,3
12770,Red & Greens ,,drmazhar,2.50,4,0,4
12769,Heavy Dumbbell,,scorpio,4.50,2,0,2
12768,Red's Condition,,drmazhar,3.00,3,0,3
12767,MED ,,Meddaif99,1.75,4,-2,2
12766,MED,,Meddaif99,1.75,4,0,4
12765,STC,,adeem69300,1.63,4,-2,2
12764,Green Shafted,,jnpollack,3.00,2,0,2
12763,"Count till Green ""Version 2""",,drmazhar,3.00,4,0,4
12762,Red Shifted,,axorion,3.00,3,0,3
12761,Count till Green,,drmazhar,2.67,5,0,5
12760,Shifted reflection,,scorpio,3.25,4,0,4
12759,Balloons...,,jnpollack,2.50,2,0,2
12758,Loopy Spiral,,jnpollack,3.00,1,0,1
12757,Prepare (paint your way) XXS,,scorpio,4.00,1,0,1
12756,Preparations 6,,drmazhar,3.00,3,0,3
12755,Track Switch,,jnpollack,3.25,3,0,3
12754,"Odd : 1 Way , Even : 2 Ways",,drmazhar,3.00,3,0,3
12753,Half Then Double,,drmazhar,3.00,3,0,3
12752,8 Conditions,,jnpollack,3.00,1,0,1
12751,Useless Red Tile,,jnpollack,2.80,3,0,3
12750,U - Turn,,drmazhar,2.20,4,0,4
12749,First of the Month,,GabrielR,2.00,6,-1,5
12748,Stack with Green,,drmazhar,2.50,4,0,4
12747,Empty Nest,,jnpollack,2.83,4,0,4
